key,en_present,zh_present,consumer_scope,owner,sdk_key,compatibility_until
extend.account.transfer_transaction_submitted,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_transaction_submitted,stage-6
extend.account.transfer_view_on_explorer,true,true,sdk-domain-and-legacy-template,legacy-compat,account.transfer_view_on_explorer,stage-6
extend.account.universal_account,true,true,sdk-domain-and-legacy-template,legacy-compat,account.universal_account,stage-6
extend.account.usdcOnChain,true,true,sdk-domain-and-legacy-template,legacy-compat,account.usdcOnChain,stage-6
extend.account.wallet_address_chain,true,true,sdk-domain-and-legacy-template,legacy-compat,account.wallet_address_chain,stage-6
extend.account.withdraw,true,true,sdk-domain-and-legacy-template,legacy-compat,account.withdraw,stage-6
extend.account.withdraw_all,true,true,sdk-domain-and-legacy-template,legacy-compat,account.withdraw_all,stage-6
extend.account.withdraw_half,true,true,sdk-domain-and-legacy-template,legacy-compat,account.withdraw_half,stage-6
extend.auth.signin,true,true,apps-web,application,,
extend.auth.signout,true,true,apps-web,application,,
extend.common.confirm,true,true,apps-web,application,,
extend.common.copied,true,true,apps-web,application,,
extend.common.copied_token_address,true,true,apps-web,application,,
extend.common.no,true,true,apps-web,application,,
extend.common.no_data,true,true,apps-web,application,,
extend.common.none,true,true,apps-web,application,,
extend.common.or,true,true,apps-web,application,,
extend.common.safe,true,true,apps-web,application,,
extend.common.save,true,true,apps-web,application,,
extend.common.show_less,true,true,apps-web,application,,
extend.common.show_more,true,true,apps-web,application,,
extend.common.signin,true,true,apps-web,application,,
extend.common.submit,true,true,apps-web,application,,
extend.common.time.1M,true,true,apps-web,application,,
extend.common.time.1d,true,true,apps-web,application,,
extend.common.time.1w,true,true,apps-web,application,,
extend.common.time.24h,true,true,apps-web,application,,
extend.common.time.3M,true,true,apps-web,application,,
extend.common.time.6M,true,true,apps-web,application,,
extend.common.unauthenticated,true,true,apps-web,application,,
extend.common.unsafe,true,true,apps-web,application,,
extend.common.yes,true,true,apps-web,application,,
extend.description,true,true,apps-web,application,,
extend.footer.account,true,true,apps-web,application,,
extend.footer.pulse,true,true,apps-web,application,,
extend.footer.search,true,true,apps-web,application,,
extend.footer.token_list,true,true,apps-web,application,,
extend.footer.track,true,true,apps-web,application,,
extend.footer.trade,true,true,apps-web,application,,
extend.header.account,true,true,apps-web,application,,
extend.header.account_settings,true,true,apps-web,application,,
